original_reactions,updated_reaction,mechanistic_class,mechanistic_label,data_source
CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][C:4]2([CH2:5][CH2:6]1)[CH2:7][N:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH2:16][C:17]([CH3:18])([CH3:19])[O:20]2>>[NH:1]1[CH2:2][CH2:3][C:4]2([CH2:5][CH2:6]1)[CH2:7][N:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH2:16][C:17]([CH3:18])([CH3:19])[O:20]2,[CH3:202][C:203]([CH3:204])([CH3:205])[O:206][C:101](=[O:201])[N:1]1[CH2:2][CH2:3][C:4]2([CH2:5][CH2:6]1)[CH2:7][N:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH2:16][C:17]([CH3:18])([CH3:19])[O:20]2.[H+:301]>>[NH:1]1[CH2:2][CH2:3][C:4]2([CH2:5][CH2:6]1)[CH2:7][N:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH2:16][C:17]([CH3:18])([CH3:19])[O:20]2,Boc_deprotection,"[(201, 301), ([203, 206], [206, 101]), ([101, 201], 201), (1, 201.1), ([201.1, 201], 201), (201, [201, 101]), ([101, 1], 1), ([202.1, 202], [202, 203])]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][c:14]([O:15][C:16]([F:17])([F:18])[F:19])[cH:20][cH:21]2)[cH:22]1)=[O:23].[CH3:24][CH2:25][NH2:26]>>[C:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][c:14]([O:15][C:16]([F:17])([F:18])[F:19])[cH:20][cH:21]2)[cH:22]1)(=[O:23])[NH:26][CH2:25][CH3:24],[OH:101][C:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][c:14]([O:15][C:16]([F:17])([F:18])[F:19])[cH:20][cH:21]2)[cH:22]1)=[O:23].[CH3:24][CH2:25][NH2:26].[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[c:8](/[CH:9]=[CH:10]/[c:11]2[cH:12][cH:13][c:14]([O:15][C:16]([F:17])([F:18])[F:19])[cH:20][cH:21]2)[cH:22]1)(=[O:23])[NH:26][CH2:25][CH3:24],DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (26, 1), ([1, 23], 23), (303, 26.1), ([26.1, 26], 26), (23, [23, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
CCO[C:1](=[O:2])[c:3]1[n:4][cH:5][c:6]2[cH:7][c:8]([NH:9][C:10](=[O:11])[NH:12][CH:13]3[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]3)[cH:19][cH:20][c:21]2[c:22]1[OH:23].[NH2:24][CH2:25][CH2:26][C:27](=[O:28])[OH:29]>>[C:1](=[O:2])([c:3]1[n:4][cH:5][c:6]2[cH:7][c:8]([NH:9][C:10](=[O:11])[NH:12][CH:13]3[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]3)[cH:19][cH:20][c:21]2[c:22]1[OH:23])[NH:24][CH2:25][CH2:26][C:27](=[O:28])[OH:29],CC[O:101][C:1](=[O:2])[c:3]1[n:4][cH:5][c:6]2[cH:7][c:8]([NH:9][C:10](=[O:11])[NH:12][CH:13]3[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]3)[cH:19][cH:20][c:21]2[c:22]1[OH:23].[NH2:24][CH2:25][CH2:26][C:27](=[O:28])[OH:29]>>[C:1](=[O:2])([c:3]1[n:4][cH:5][c:6]2[cH:7][c:8]([NH:9][C:10](=[O:11])[NH:12][CH:13]3[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]3)[cH:19][cH:20][c:21]2[c:22]1[OH:23])[NH:24][CH2:25][CH2:26][C:27](=[O:28])[OH:29],nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,"[(24, 1), ([1, 2], 2), (2, [2, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([CH2:8][CH2:9][CH2:10][N:11]3[CH2:25][CH2:24][CH:14]([C:15](=[O:16])[c:17]4[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]4)[CH2:13][CH2:12]3)[c:26]([CH3:27])[nH:28][c:29]2[cH:30]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([CH2:8][CH2:9][CH2:10][N:11]3[CH2:12][CH2:13][CH:14]([CH:15]([OH:16])[c:17]4[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]4)[CH2:24][CH2:25]3)[c:26]([CH3:27])[nH:28][c:29]2[cH:30]1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([CH2:8][CH2:9][CH2:10][N:11]3[CH2:12][CH2:13][CH:14]([C:15](=[O:16])[c:17]4[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]4)[CH2:24][CH2:25]3)[c:26]([CH3:27])[nH:28][c:29]2[cH:30]1.[BH4-:301].[CH3][OH1:302]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([CH2:8][CH2:9][CH2:10][N:11]3[CH2:12][CH2:13][CH:14]([CH:15]([OH:16])[c:17]4[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]4)[CH2:24][CH2:25]3)[c:26]([CH3:27])[nH:28][c:29]2[cH:30]1,carbonyl_reduction,"[([301, 301.1], 15), ([15, 16], 16), (16, 302.1), ([302.1, 302], 302)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[CH2:1][c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[n:11]1.[O:12]=[N+:13]([O-:14])[c:15]1[cH:16][cH:17][cH:18][c:19](-[c:20]2[cH:21][cH:22][n:23][cH:24][cH:25]2)[c:26]1-[c:27]1[cH:28][cH:29][c:30]([OH:31])[cH:32][cH:33]1>>[CH2:1]([c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[n:11]1)[O:31][c:30]1[cH:29][cH:28][c:27](-[c:26]2[c:15]([N+:13](=[O:12])[O-:14])[cH:16][cH:17][cH:18][c:19]2-[c:20]2[cH:21][cH:22][n:23][cH:24][cH:25]2)[cH:33][cH:32]1,[O:12]=[N+:13]([OH:14])[c:15]1[cH:16][cH:17][cH:18][c:19](-[c:20]2[cH:21][cH:22][n:23][cH:24][cH:25]2)[c:26]1-[c:27]1[cH:28][cH:29][c:30]([OH:31])[cH:32][cH:33]1.[Cl:101][CH2:1][c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[n:11]1.[H-:301].[Na+]>>[CH2:1]([c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[n:11]1)[O:31][c:30]1[cH:29][cH:28][c:27](-[c:26]2[c:15]([N+:13](=[O:12])[OH:14])[cH:16][cH:17][cH:18][c:19]2-[c:20]2[cH:21][cH:22][n:23][cH:24][cH:25]2)[cH:33][cH:32]1,SN2_alcohol(thiol),"[(301, 31.1), ([31.1, 31], 31), (31, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[C:1]([O:2][CH2:3][CH3:4])=[O:5].[NH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1[S:13][CH2:14][c:15]1[n:16][cH:17][o:18][n:19]1>>[C:1]([O:2][CH2:3][CH3:4])(=[O:5])[NH:6][c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1[S:13][CH2:14][c:15]1[n:16][cH:17][o:18][n:19]1,[NH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1[S:13][CH2:14][c:15]1[n:16][cH:17][o:18][n:19]1.[Cl:101][C:1]([O:2][CH2:3][CH3:4])=[O:5]>>[C:1]([O:2][CH2:3][CH3:4])(=[O:5])[NH:6][c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1[S:13][CH2:14][c:15]1[n:16][cH:17][o:18][n:19]1,nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,"[(6, 1), ([1, 5], 5), (5, [5, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
I[CH2:1][CH:2]=[CH2:3].[O:4]=[C:5]([OH:6])[C:7]([CH2:8][CH2:9][c:10]1[cH:16][cH:15][c:13]([Cl:14])[cH:12][cH:11]1)([CH2:17][n:18]1[cH:19][n:20][cH:21][n:22]1)[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1>>[CH2:1]([CH:2]=[CH2:3])[O:6][C:5](=[O:4])[C:7]([CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]1)([CH2:17][n:18]1[cH:19][n:20][cH:21][n:22]1)[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1,[O:4]=[C:5]([OH:6])[C:7]([CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]1)([CH2:17][n:18]1[cH:19][n:20][cH:21][n:22]1)[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1.[I:101][CH2:1][CH:2]=[CH2:3].[H-:301].[Na+]>>[CH2:1]([CH:2]=[CH2:3])[O:6][C:5](=[O:4])[C:7]([CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]1)([CH2:17][n:18]1[cH:19][n:20][cH:21][n:22]1)[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1,SN2_alcohol(thiol),"[(301, 6.1), ([6.1, 6], 6), (6, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Br[CH:1]1[CH2:2][CH2:3][CH2:4][CH2:5]1.[CH3:6][O:7][c:8]1[cH:9][cH:10][c:11]([C:12](=[O:13])[CH2:14][CH2:15][C:16](=[O:17])[OH:18])[cH:19][c:20]1[OH:21]>>[CH:1]1([O:21][c:20]2[c:8]([O:7][CH3:6])[cH:9][cH:10][c:11]([C:12](=[O:13])[CH2:14][CH2:15][C:16](=[O:17])[OH:18])[cH:19]2)[CH2:2][CH2:3][CH2:4][CH2:5]1,[CH3:6][O:7][c:8]1[cH:9][cH:10][c:11]([C:12](=[O:13])[CH2:14][CH2:15][C:16](=[O:17])[OH:18])[cH:19][c:20]1[OH:21].[Br:101][CH:1]1[CH2:2][CH2:3][CH2:4][CH2:5]1>>[CH:1]1([O:21][c:20]2[c:8]([O:7][CH3:6])[cH:9][cH:10][c:11]([C:12](=[O:13])[CH2:14][CH2:15][C:16](=[O:17])[OH:18])[cH:19]2)[CH2:2][CH2:3][CH2:4][CH2:5]1,SN1,"[([1, 101], 101), (21, 1)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
I[c:1]1[cH:2][c:3]([O:4][CH3:5])[c:6]([C:7]#[N:8])[cH:9][cH:10]1.[CH3:11][CH:12]1[NH:13][C:14](=[O:15])[C:16]([CH3:17])([CH3:18])[C:19]1=[O:20]>>[c:1]1([N:13]2[CH:12]([CH3:11])[C:19](=[O:20])[C:16]([CH3:17])([CH3:18])[C:14]2=[O:15])[cH:2][c:3]([O:4][CH3:5])[c:6]([C:7]#[N:8])[cH:9][cH:10]1,[I:101][c:1]1[cH:2][c:3]([O:4][CH3:5])[c:6]([C:7]#[N:8])[cH:9][cH:10]1.[CH3:11][CH:12]1[NH:13][C:14](=[O:15])[C:16]([CH3:17])([CH3:18])[C:19]1=[O:20]>>[c:1]1([N:13]2[CH:12]([CH3:11])[C:19](=[O:20])[C:16]([CH3:17])([CH3:18])[C:14]2=[O:15])[cH:2][c:3]([O:4][CH3:5])[c:6]([C:7]#[N:8])[cH:9][cH:10]1,SNAr(para),"[(13, 1), ([1, 10], [10, 9]), ([9, 6], [6, 7]), ([7, 8], 8), (8, [8, 7]), ([7, 6], [6, 9]), ([9, 10], [10, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[CH:33]1[CH2:32][O:31][C:29]([CH3:28])([CH3:30])[O:35][CH2:34]1.[OH:1][c:2]1[c:3]([CH2:4][CH3:5])[cH:6][c:7](-[c:8]2[n:9][o:10][c:11](-[c:12]3[cH:13][c:14]([CH3:15])[n:16][c:17]([N:18]([CH2:21][CH3:22])[CH2:19][CH3:20])[cH:23]3)[n:24]2)[cH:25][c:26]1[CH3:27]>>[O:1]([c:2]1[c:3]([CH2:4][CH3:5])[cH:6][c:7](-[c:8]2[n:9][o:10][c:11](-[c:12]3[cH:13][c:14]([CH3:15])[n:16][c:17]([N:18]([CH2:19][CH3:20])[CH2:21][CH3:22])[cH:23]3)[n:24]2)[cH:25][c:26]1[CH3:27])[CH:33]1[CH2:32][O:31][C:29]([CH3:28])([CH3:30])[O:35][CH2:34]1,[OH:1][c:2]1[c:3]([CH2:4][CH3:5])[cH:6][c:7](-[c:8]2[n:9][o:10][c:11](-[c:12]3[cH:13][c:14]([CH3:15])[n:16][c:17]([N:18]([CH2:19][CH3:20])[CH2:21][CH3:22])[cH:23]3)[n:24]2)[cH:25][c:26]1[CH3:27].[OH:101][CH:33]1[CH2:32][O:31][C:29]([CH3:28])([CH3:30])[O:35][CH2:34]1.c1ccccc1[P:301](c2ccccc2)c3ccccc3.[O:302]=[C:303]([N:304]=[N:305]C(=O)OCC)OCC>>[O:1]([c:2]1[c:3]([CH2:4][CH3:5])[cH:6][c:7](-[c:8]2[n:9][o:10][c:11](-[c:12]3[cH:13][c:14]([CH3:15])[n:16][c:17]([N:18]([CH2:19][CH3:20])[CH2:21][CH3:22])[cH:23]3)[n:24]2)[cH:25][c:26]1[CH3:27])[CH:33]1[CH2:32][O:31][C:29]([CH3:28])([CH3:30])[O:35][CH2:34]1,Mitsunobu,"[(301, 305), ([305, 304], 304), (304, [304, 303]), ([303, 302], 302), (302, [302, 303]), ([303, 304], 1.1), ([1.1, 1], 1), (101, 301), ([301, 305], 305), (305, 101.1), ([101.1, 101], 101), (1, 33), ([33, 101], [101, 301])]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O=[CH:1][CH2:2][c:3]1[c:4]([CH2:5][CH3:6])[cH:7][c:8](-[c:9]2[cH:10][cH:11][cH:12][c:13]([NH:14][C:15](=[O:16])[C:17]([CH3:18])([CH3:19])[CH3:20])[n:21]2)[c:22]([O:23][CH3:24])[cH:25]1.[CH3:26][NH:27][CH3:28]>>[CH2:1]([CH2:2][c:3]1[c:4]([CH2:5][CH3:6])[cH:7][c:8](-[c:9]2[cH:10][cH:11][cH:12][c:13]([NH:14][C:15](=[O:16])[C:17]([CH3:18])([CH3:19])[CH3:20])[n:21]2)[c:22]([O:23][CH3:24])[cH:25]1)[N:27]([CH3:26])[CH3:28],[O:101]=[CH:1][CH2:2][c:3]1[c:4]([CH2:5][CH3:6])[cH:7][c:8](-[c:9]2[cH:10][cH:11][cH:12][c:13]([NH:14][C:15](=[O:16])[C:17]([CH3:18])([CH3:19])[CH3:20])[n:21]2)[c:22]([O:23][CH3:24])[cH:25]1.[CH3:26][NH:27][CH3:28].[H+:301].[BH3-:302]C#N.[Na+]>>[CH2:1]([CH2:2][c:3]1[c:4]([CH2:5][CH3:6])[cH:7][c:8](-[c:9]2[cH:10][cH:11][cH:12][c:13]([NH:14][C:15](=[O:16])[C:17]([CH3:18])([CH3:19])[CH3:20])[n:21]2)[c:22]([O:23][CH3:24])[cH:25]1)[N:27]([CH3:26])[CH3:28],reductive_amination,"[(27, 1), ([1, 101], 301), (101, 27.1), ([27.1, 27], 27), (27, [27, 1]), ([1, 101], 101), ([302, 302.1], 1), ([1, 27], 27)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1](=[O:2])[c:3]1[cH:4][nH:5][c:6]2[c:7](-[c:8]3[c:9]([O:10][CH2:11][CH:12]4[CH2:13][CH2:14]4)[cH:15][cH:16][c:17]4[c:18]3[O:19][CH2:20][O:21]4)[n:22][cH:23][n:24][c:25]12.[CH3:26][O:27][c:28]1[cH:29][cH:30][c:31]([C:32]2=[N:33][N:34]([CH:35]3[CH2:36][CH2:37][N:38]([C:39](=[O:40])[C@@H:41]([NH2:42])[CH2:43][c:44]4[cH:45][s:46][cH:47][n:48]4)[CH2:49][CH2:50]3)[C:51](=[O:52])[C@@H:53]3[CH2:54][CH2:55][CH2:56][CH2:57][C@H:58]23)[cH:59][c:60]1[O:61][CH3:62]>>[C:1](=[O:2])([c:3]1[cH:4][nH:5][c:6]2[c:7](-[c:8]3[c:9]([O:10][CH2:11][CH:12]4[CH2:13][CH2:14]4)[cH:15][cH:16][c:17]4[c:18]3[O:19][CH2:20][O:21]4)[n:22][cH:23][n:24][c:25]12)[NH:42][C@H:41]([C:39]([N:38]1[CH2:37][CH2:36][CH:35]([N:34]2[N:33]=[C:32]([c:31]3[cH:30][cH:29][c:28]([O:27][CH3:26])[c:60]([O:61][CH3:62])[cH:59]3)[C@@H:58]3[C@H:53]([C:51]2=[O:52])[CH2:54][CH2:55][CH2:56][CH2:57]3)[CH2:50][CH2:49]1)=[O:40])[CH2:43][c:44]1[cH:45][s:46][cH:47][n:48]1,[CH3:26][O:27][c:28]1[cH:29][cH:30][c:31]([C:32]2=[N:33][N:34]([CH:35]3[CH2:36][CH2:37][N:38]([C:39](=[O:40])[C@@H:41]([NH2:42])[CH2:43][c:44]4[cH:45][s:46][cH:47][n:48]4)[CH2:49][CH2:50]3)[C:51](=[O:52])[C@@H:53]3[CH2:54][CH2:55][CH2:56][CH2:57][C@H:58]23)[cH:59][c:60]1[O:61][CH3:62].[OH:101][C:1](=[O:2])[c:3]1[cH:4][nH:5][c:6]2[c:7](-[c:8]3[c:9]([O:10][CH2:11][CH:12]4[CH2:13][CH2:14]4)[cH:15][cH:16][c:17]4[c:18]3[O:19][CH2:20][O:21]4)[n:22][cH:23][n:24][c:25]12.[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1](=[O:2])([c:3]1[cH:4][nH:5][c:6]2[c:7](-[c:8]3[c:9]([O:10][CH2:11][CH:12]4[CH2:13][CH2:14]4)[cH:15][cH:16][c:17]4[c:18]3[O:19][CH2:20][O:21]4)[n:22][cH:23][n:24][c:25]12)[NH:42][C@H:41]([C:39]([N:38]1[CH2:37][CH2:36][CH:35]([N:34]2[N:33]=[C:32]([c:31]3[cH:30][cH:29][c:28]([O:27][CH3:26])[c:60]([O:61][CH3:62])[cH:59]3)[C@@H:58]3[C@H:53]([C:51]2=[O:52])[CH2:54][CH2:55][CH2:56][CH2:57]3)[CH2:50][CH2:49]1)=[O:40])[CH2:43][c:44]1[cH:45][s:46][cH:47][n:48]1,DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (42, 1), ([1, 2], 2), (303, 42.1), ([42.1, 42], 42), (2, [2, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[C:1](=[O:2])[O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1.[OH:11][c:12]1[cH:13][cH:14][c:15]2[c:16]([cH:17]1)[C@@:18]13[CH2:19][CH2:20][CH2:21][CH2:22][C@H:23]1[C@@H:24]([CH2:25]2)[NH:26][CH2:27][CH2:28]3>>[C:1](=[O:2])([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[N:26]1[C@H:24]2[C@H:23]3[C@@:18]([c:16]4[c:15]([cH:14][cH:13][c:12]([OH:11])[cH:17]4)[CH2:25]2)([CH2:19][CH2:20][CH2:21][CH2:22]3)[CH2:28][CH2:27]1,[OH:11][c:12]1[cH:13][cH:14][c:15]2[c:16]([cH:17]1)[C@@:18]13[CH2:19][CH2:20][CH2:21][CH2:22][C@H:23]1[C@@H:24]([CH2:25]2)[NH:26][CH2:27][CH2:28]3.[Cl:101][C:1](=[O:2])[O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[C:1](=[O:2])([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[N:26]1[C@H:24]2[C@H:23]3[C@@:18]([c:16]4[c:15]([cH:14][cH:13][c:12]([OH:11])[cH:17]4)[CH2:25]2)([CH2:19][CH2:20][CH2:21][CH2:22]3)[CH2:28][CH2:27]1,nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,"[(26, 1), ([1, 2], 2), (2, [2, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][O:7][c:8]2[n:9][n:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:17][c:18]2/[CH:19]=[CH:20]/[CH2:21][OH:22])[cH:23][cH:24][c:25]1[O:26][CH2:27][c:28]1[n:29][c:30](-[c:31]2[cH:32][cH:33][cH:34][o:35]2)[o:36][c:37]1[CH3:38]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][O:7][c:8]2[n:9][n:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:17][c:18]2/[CH:19]=[CH:20]/[CH:21]=[O:22])[cH:23][cH:24][c:25]1[O:26][CH2:27][c:28]1[n:29][c:30](-[c:31]2[cH:32][cH:33][cH:34][o:35]2)[o:36][c:37]1[CH3:38],[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][O:7][c:8]2[n:9][n:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:17][c:18]2/[CH:19]=[CH:20]/[CH2:21][OH:22])[cH:23][cH:24][c:25]1[O:26][CH2:27][c:28]1[n:29][c:30](-[c:31]2[cH:32][cH:33][cH:34][o:35]2)[o:36][c:37]1[CH3:38].[Cl:301][C:302](=[O:303])[C:304](=[O:305])[Cl:306].[CH3:307][S:308](=[O:309])C.CC[N:310](CC)CC>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][O:7][c:8]2[n:9][n:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:17][c:18]2/[CH:19]=[CH:20]/[CH:21]=[O:22])[cH:23][cH:24][c:25]1[O:26][CH2:27][c:28]1[n:29][c:30](-[c:31]2[cH:32][cH:33][cH:34][o:35]2)[o:36][c:37]1[CH3:38],Swern_oxidation,"[([308, 309], 304), ([304, 305], 305), (305, [305, 304]), ([304, 306], 306), (306, 308), ([308, 309], [309, 304]), ([304, 302], 302), ([302, 301], 301), (22, 308), ([308, 306], 306), (306, 22.1), ([22.1, 22], 22), (310, 307.1), ([307.1, 307], 307), (301, 310.1), ([310.1, 310], 310), (307, 21.1), ([21.1, 21], [21, 22]), ([22, 308], 308)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
CS(=O)(=O)O[CH:1]1[CH2:2][CH2:3][S:4][CH2:5][CH2:6]1.[O:7]=[CH:8][c:9]1[cH:10][c:11]([F:12])[cH:13][cH:14][c:15]1[OH:16]>>[CH:1]1([O:16][c:15]2[c:9]([CH:8]=[O:7])[cH:10][c:11]([F:12])[cH:13][cH:14]2)[CH2:2][CH2:3][S:4][CH2:5][CH2:6]1,CS(=O)(=O)[O:101][CH:1]1[CH2:2][CH2:3][S:4][CH2:5][CH2:6]1.[O:7]=[CH:8][c:9]1[cH:10][c:11]([F:12])[cH:13][cH:14][c:15]1[OH:16]>>[CH:1]1([O:16][c:15]2[c:9]([CH:8]=[O:7])[cH:10][c:11]([F:12])[cH:13][cH:14]2)[CH2:2][CH2:3][S:4][CH2:5][CH2:6]1,SN1,"[([1, 101], 101), (16, 1)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)([c:14]1[cH:19][cH:18][cH:17][cH:16][cH:15]1)[c:8]1[cH:13][cH:12][cH:11][cH:10][cH:9]1.[N:20]#[C:21][c:22]1[cH:23][nH:24][cH:25][n:26]1>>[C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[n:24]1[cH:23][c:22]([C:21]#[N:20])[n:26][cH:25]1,[Cl:101][C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1.[N:20]#[C:21][c:22]1[cH:23][nH:24][cH:25][n:26]1>>[C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[n:24]1[cH:23][c:22]([C:21]#[N:20])[n:26][cH:25]1,SN1,"[([1, 101], 101), (24, 1)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
